Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
4071,235.07,6.096,1390,1430,342,0.9711,13.81,30,33.127113867,0,0,0,0.006078522,NN
4072,235.08,6.095,1390,1430,342,0.971,13.82,30,33.133192389,0,0,0,-0.0028188865,NN
4073,235.06,6.095,1390,1430,342,0.971,13.82,30,33.1303735025,0,0,1,-0.006958456,NN
4074,235.11,6.098,1390,1430,343,0.971,13.82,30,33.1234150465,0,0,-1,0.0083678992,NN
4075,235.07,6.095,1390,1430,342,0.971,13.82,30,33.1317829457,0,0,0,0.0014940337,NN
4076,235.18,6.098,1390,1430,342,0.9711,13.81,30,33.1332769794,0,0,0,0.0074052873,NN
4077,235.1,6.094,1390,1430,342,0.9711,13.81,30,33.1406822667,0,0,0,0.0037856685,NN
4078,235.16,6.095,1390,1430,342,0.9712,13.79,30,33.1444679352,0,0,0,-0.0125998033,NN
4079,235.17,6.098,1390,1430,342,0.9711,13.81,30,33.1318681319,0,0,0,0.0018503407,NN
4080,235.15,6.097,1390,1430,342,0.9711,13.81,30,33.1337184726,0,0,0,-0.0014090461,NN
4081,235.14,6.097,1390,1430,342,0.9711,13.82,30,33.1323094265,0,0,0,0.0070452304,NN
4082,235.19,6.097,1390,1430,342,0.9711,13.81,30,33.1393546569,0,0,0,0.0088195994,NN
4083,235.12,6.093,1390,1430,342,0.9711,13.8,30,33.1481742563,0,0,-2,0.0285784592,NN
4084,235.19,6.089,1390,1430,340,0.9713,13.75,30,33.1767527155,0,0,2,-0.0229390964,NN
4085,235.16,6.093,1390,1430,342,0.9711,13.8,30,33.1538136191,0,0,0,-0.0051954578,NN
4086,235.09,6.092,1390,1430,342,0.9711,13.82,30,33.1486181613,0,0,0,-0.0027407829,NN
4087,235.17,6.095,1390,1430,342,0.9711,13.81,30,33.1458773784,0,0,0,0,NN
4088,235.17,6.095,1390,1430,342,0.9711,13.81,30,33.1458773784,0,0,0,-0.0070472163,NN
4089,235.12,6.095,1390,1430,342,0.9711,13.81,30,33.1388301621,0,0,1,-0.0027354875,NN
4090,235.2,6.098,1390,1430,343,0.971,13.83,30,33.1360946746,0,10,0,-0.0093341112,NN
4091,235.2,6.1,1390,1440,343,0.9709,13.85,30,33.1267605634,0,-10,0,0.002730771,NN
4092,235.12,6.097,1390,1430,343,0.971,13.84,30,33.1294913344,0,0,0,0.0187612023,NN
4093,235.22,6.096,1390,1430,343,0.971,13.82,30,33.1482525366,0,0,0,-0.0107490145,NN
4094,235.21,6.098,1390,1430,343,0.971,13.82,30,33.1375035221,0,0,-1,0.020094448,NN
4095,235.22,6.094,1390,1430,342,0.9711,13.8,30,33.1575979701,0,0,0,0.0065306255,NN
4096,235.2,6.092,1390,1430,342,0.9712,13.79,30,33.1641285956,0,0,0,0,NN
4097,235.2,6.092,1390,1430,342,0.9712,13.8,30,33.1641285956,0,0,0,-0.0051947358,NN
4098,235.13,6.091,1390,1430,342,0.9711,13.8,30,33.1589338598,0,0,-1,0.0224995488,NN
4099,235.19,6.088,1390,1430,341,0.9713,13.77,30,33.1814334086,0,0,-1,0.0140500071,NN
4100,235.19,6.085,1390,1430,340,0.9713,13.76,30,33.1954834157,0,0,1,-0.0107790274,NN
4101,235.18,6.087,1390,1430,341,0.9713,13.76,30,33.1847043883,0,0,-1,0.0182882712,NN
4102,235.21,6.084,1390,1430,340,0.9714,13.73,30,33.2029926595,0,0,-2,0.0239075948,NN
4103,235.18,6.078,1390,1430,338,0.9716,13.7,30,33.2269002543,0,0,0,0.0056513139,NN
4104,235.22,6.078,1390,1430,338,0.9717,13.67,30,33.2325515682,0,0,-2,0.0371415445,NN
4105,235.25,6.071,1390,1430,336,0.972,13.59,30,33.2696931127,0,0,0,-0.0089465064,NN
